en_sentence	de_sentence	fr_sentence	multi	binary
How'd you like to have Joan Crawford for a mother?	Hättest du vielleicht gern Joan Crawford als Mutter?	Tu aurais préféré Joan Crawford comme mère?	5	1
You come from somewhere and you're trying to make nothing out of yours.	Du hattest einen wunderbaren Start und du versuchst, nichts daraus zu machen.	Toi, c'est comme si tu ne voulais rien faire de ta vie.	1,3	0
You should just get over what happened to you in your adolescence.	Du musst endlich darüber hinwegkommen, was du in deiner Jugend erlebt hast.	Tu devrais tirer un trait sur ton adolescence.	2,8	1
Can I have your gun, please?	Lhre Waffe, bitte.	Votre revolver.	8	1
Could I talk to you just for a second?	Kann ich Sie mal ganz kurz sprechen?	Je peux te parler une seconde?	2,8	1
Asking who I sleep with isn't personal anymore?	Glauben Sie, mich zu fragen, mit wem ich schlafe, ist unpersonlich?	Avec qui on couche, c'est pas intime?	1	0
You look like somebody who can take care of herself.	Sie konnen auf sich selber aufpassen.	On dirait que tu sais ce que tu fais.	5	1
Don't feel bad.	Und seien Sie nicht traurig.	Faut pas t'en faire.	2	1
-That's a good sign.	- Großartig. Ein gutes Zeichen.	- C'est bon signe.	2,5	1
So if you can just enjoy yourself with him like he's enjoying himself with you....	Eigentlich ist die Sache einfach: Sie haben ihren Spaß mit ihm dann kann er auch seinen Spaß mit Ihnen haben.	Le mieux, c'est d'essayer de prendre du bon temps avec lui... comme lui en prend avec toi.	2	1
That's what I do.	Ich mach das ja auch nur...	C'est ce que je fais, moi.	5,8	1
-Morning.	- Guten Morgen.	- Bonjour.	5,8	1
As far as discretion goes, what were you and Evelyn doing, comparing notes?	Was die Diskretion angeht: Habt ihr am Set eure Notizen verglichen?	Pour la discrétion, vous faisiez quoi avec Evelyn? Des comparaisons?	7	None
Apparently Evelyn smells like Catalina too.	Evelyn riecht auch nach Catalina.	Evelyn aussi sent l'île déserte.	7	None
I just got out of a drug clinic and you manipulate me?	Ich war gerade in einer Drogenklinik. Wieso versuchst du mich einzuwickeln?	Je sors de désintoxication et tu me fais ça?	1,3,6	0
-Give me a break, we just met!	- Wir haben uns gerade kennengelernt!	- Arrëte! On se connaît á peine.	1	0
I do not like this side of you.	Diese Seite an dir gefällt mir nicht.	C'est pas le côté que je préfère chez toi.	3	0
-You're not?	- Und du nicht?	- Et toi, non?	2,3	1
What bothers you?	Was macht dir so zu schaffen?	C'est quoi ton problème?	6,8	0
It's not that you fuck around a lot.	Es liegt nicht daran, mit wem du vogelst.	Je me fiche que tu baises á droite, á gauche.	1	0
Could've told the truth, fucked them all, had the cigarette with me.	Du konntest mir die Wahrheit sagen, vogelst sie alle und wir rauchen eine.	Tu aurais pu être honnête et te faire toutes les filles du monde.	1	0
You dreamt I lost some weight?	Hast du geträumt, ich habe abgenommen?	T'as rêvé que j'avais maigri?	7	None
Don't be fresh, dear.	Sei nicht so frech, Liebes.	Ne sois pas insolente.	1,3	0
I have something inevitable to tell you.	Ich muss dir etwas ziemlich Unerfreuliches sagen.	J'ai une nouvelle... inévitable á t'annoncer.	4,6	0
I don't want you to be angry with me for having predicted it.	Ich will nicht, dass du mir bose bist, weil ich's dir vorausgesagt habe.	Mais ne te mets pas en colère parce que je l'avais prédit.	4	0
Your beloved business manager, Marty Weiner the man you stayed with, the one I begged you to leave....	Dein geliebter Manager, Marty Weiner bei dem du bleiben wolltest, den ich dich gebeten habe, zu verlassen...	Ton agent bien-aimé, Marty Weiner... l'homme que je t'avais imploré de laisser tomber...	1,3,6	0
I know.	Ich weiß.	J'y arrive.	4,8	0
Marty Weiner has disappeared.	Marty Weiner hat sich in Luft aufgelost.	Marty Weiner s'est évaporé.	1,4,6,7	0
Meaning what, that I have no money?	Was bedeutet das? Dass mein Geld weg ist?	Ça veut dire que j'ai plus rien?	1,4	0
Dear, it's no good feeling sorry for yourself.	Engelchen, es ist nicht gut, sich selbst zu bemitleiden.	Ça ne sert á rien de s'apitoyer sur son sort.	5,8	1
Some days I wake up--	An manchen Tagen wache ich...	Quand je me réveille...	4,6	0
Will you please stop telling me how to run my life for a couple of minutes?	Würdest du aufhoren, mir zu erzählen, wie ich leben soll nur für ein paar Minuten?	Si tu arrêtais de me dire comment mener ma vie... juste une petite minute.	1	0
You drink to relax.	Du trinkst nur aus Zerstreuung.	Tu bois pour te détendre.	8	1
You just enjoy your wine.	Du genießt deinen Wein.	Tu aimes bien le vin.	5	1
My drinking does not interfere with my work.	Mein Trinken wirkt sich nicht auf meine Arbeit aus.	Boire ne m'empêche pas de travailler.	8	1
Will you tell me what awful thing I did to you when you were a child?	Würdest du mir bitte sagen, was ich dir als Kind so Schreckliches antat?	Quelle est cette chose effroyable que je t'ai faite?	3,6	0
Remember my 1 7th birthday party when you lifted your skirt up...	Erinnerst du dich an meine 17. Geburtstagsparty?	Souviens-toi, pour mes 17 ans, tu as soulevé ta jupe...	5	1
Could I get a level from you, please?	Konnte ich mal was horen, bitte?	Faut que je place le micro.	2,8	1
You've had it too easy and you don't know it.	Dir ist immer alles zugefallen, und du weißt es nicht mal.	Tu ne vois même pas que tu as la belle vie.	1	0
See what you can do?	Sieh dir an, was du kannst.	Voilá de quoi tu es capable.	6,7	0
Maybe I should just go back to the clinic?	Vielleicht sollte ich noch mal in die Klinik zurückgehen.	Je devrais peut-ëtre... repartir en clinique?	2,7	1
Look you're better here coping than in a clinic giving up.	Es ist besser hier draußen damit fertig zu werden, als in der Klinik aufzugeben.	Ecoute... tu es mieux ici qu'á te laisser aller á l'hôpital.	2,5,8	1
Grow up.	Verlass deine Mutter.	Grandis.	3,6	0
Where's the lady?	Wo ist die Lady?	Elle est oú?	2	1
May I help you?	Kann ich Ihnen helfen?	C'est pour quoi?	2	1
She's more frightened than anything.	Sie hat vor allem einen mächtigen Schock.	Elle a eu plus de peur que de mal.	4	0
There she is, my other monster.	Da ist ja mein anderes Monster.	Voilá mon autre démon.	8	1
I can't seem to keep you two out of the hospital lately.	Euch kann man ja nicht mehr vom Krankenhaus fern halten.	Vous voir ailleurs qu'á l'hosto, c'est pas gagné.	1,6,7	0
She was worried about you.	Sie hat sich Sorgen um dich gemacht.	Elle s'inquiétait pour toi.	6	0
Not bad for an old-timer, huh?	Nicht übel für einen Oldtimer, hm?	Pas mal pour une vieille, non?	7	None
She said that I put on airs.	Sie hat gesagt, dass ich vornehm tue.	Que je prenais de grands airs.	1,3,6	0
What am I supposed to do, sound like a hick just to make her happy?	Soll ich wie 'n Hinterwäldler klingen, nur um sie glücklich zu machen?	Faut causer comme les culs-terreux pour faire son bonheur.	1,3	0
Let's go get them, baby.	Gehen wir raus und stecken sie in die Tasche.	Allez, on va se les faire.	2	1
Seems like it takes a crisis to bring us together lately.	Wir brauchen in letzter Zeit immer eine Krise, die uns zusammen bringt.	On a besoin d'une épreuve pour se rapprocher.	6,7	0
She seems to be feeling a lot better.	Wie schon, es scheint ihr schon viel besser zu gehen.	Elle a l'air en pleine forme.	5	1
Did you ever get my flowers?	Haben Sie eigentlich meine Blumen erhalten?	Avez-vous reçu mes fleurs?	1,6	0
-You're the guy!	- Sie waren das also!	- C'est vous! - Oui.	5,7,8	1
-l pumped your stomach.	- Ich habe Sie ausgepumpt.	Le lavage d'estomac.	4,7	0
Well, thanks for the flowers and everything.	Also, vielen Dank für die Blumen und alles andere. Danke.	Merci pour les fleurs et tout le reste.	8	1
In fact I should.	Wenigstens sollte ich das eigentlich.	Enfin, je devrais.	4,8	0
We can say fate brought us together.	Sagen wir, das Schicksal führte uns zueinander.	La fatalité nous a réunis.	5,8	1
Fate and too many painkillers.	Ja, das Schicksal und zu viele Betäubungsmittel.	La fatalité et trop de somnifères.	6	0
"But it can't be a ""date"" date."	Aber eine echte Verabredung ist das nicht.	Ce sera pas un vrai rancard.	4	0
I want you to see it.	Ich will aber, dass Sie es sehen.	Il faut que vous voyiez ça.	2	1
And no promises on the sentence.	Und keine Versprechungen beim Urteil.	Et on ne promet rien quant au verdict.	3,6	0
Some creep got into her place and strangled her.	Irgendein Kerl hat sie erwürgt.	Un type s'est faufilé chez elle et l'a étranglée.	1	0
I should have fired him when we fired Nico.	Ich hätte ihn mit Nico feuern sollen.	J'aurais dû le virer quand on a viré Nico.	1,3,6	0
I want you to handle this case personally.	Übernimm du den Fall.	Je veux que tu prennes l'affaire.	2,8	1
So, I'm here.	MANN:	Bon... me voilà.	5,8	1
Find out which of the creeps she put away is out on parole.	Schau nach, welche ihrer Klienten frühzeitig entlassen wurden.	Vois ceux qu'elle a taulés et qui sont en conditionnelle.	3	0
You mean somebody she let in opened the windows so it looked like a break-in?	Der Einbrecher öffnete also die Fenster, damit es nach Einbruch aussah?	Quoi? Le type aurait tout ouvert pour faire croire à une effraction?	7	None
Police are about to release a statement about the circumstances of her death...	Die Polizei gibt eine Erklärung über die Todesursache ab.	La police va faire une déclaration.	6	0
You sound like a woman with a mission.	FRAU: Sie sind eine Frau mit einer Mission.	Vous vous sentez donc une mission.	7	None
We have diddly-shit.	Wir tappen im Dunkeln.	On a que dalle.	1,6	0
- Splendid.	- Großartig.	Superbe.	5	1
Raymond's pressing hard on that case, I imagine.	Raymond kniet sich wohl in den Fall.	Raymond doit faire le forcing sur l'affaire.	2,8	1
Raymond presses hard on every case, Nico.	Raymond kniet sich in jeden Fall.	Il met la pression sur tout.	8	1
She stood for justice.	Für die Gerechtigkeit.	La cause de la justice.	5,8	1
If you don't find Carolyn's killer, we are both history.	Wenn wir Carolyns Mörder nicht schnappen, geht's uns an den Kragen.	Si tu ne trouves pas l'assassin de Carolyn, on est flambés.	4	0
Turn all of that administrative bullshit to Mac.	Übergib den verdammten Bürokram Mac.	Colle toute cette merde administrative à Mac.	1	0
And let me remind you, we lost two key PA's in one day.	An einem Tag verloren wir 2 Staatsanwälte.	On a perdu deux procs de pointe en une seule journée.	1	0
You'll love what I got from Painless.	LIPRANZER: Interessante Neuigkeit von Painless.	Tu vas adorer ce que m'a dit l'Indolore.	2,8	1
Carolyn would've fought back.	Carolyn hätte sich gewehrt.	Carolyn se serait défendue.	6,7	0
You are a class-A fuck-up, you know?	Du vermiest einem wirklich alles.	T'es un branlot de première.	3	0
They ain't going to expedite it for me.	Für mich beeilen sie sich nicht.	Ils vont pas le faire, pour moi.	1	0
No, she's calling your home.	- Nein, deine Privatnummer.	Non, elle appelait chez toi.	1	0
If Barbara sees a phone company subpoena, now, she'll bust a gut.	Wenn Barbara eine Vorladung vom Telefonamt sieht, flippt sie aus.	Si Barbara voit une citation à comparaître, elle va flipper.	4	0
Polhemus was bad news.	Polhemus bedeutete nichts Gutes.	Polhemus: dynamite.	1,3	0
It took me a week to find this crap.	Hat eine Woche gedauert, das zu finden. Von vor 5 Jahren.	Ca m'a pris 8 jours pour le retrouver.	1,3,7	0
When I gave these files to her, they were in nice order.	Die Akten waren ordentlich, als ich sie ihr gab. Jetzt fehlt die Hälfte.	Quand je lui ai donné ces dossiers, ils étaient en ordre.	1,7	0
What does Molto have to do with this?	Was hat Molto damit zu tun?	Qu'est-ce qu'il a à voir là-dedans?	1	0
Would there still be a court file on this case?	Gibt es noch eine Gerichtsakte?	Il y a un double au tribunal?	2	1
I told her you didn't fuck around.	Ich sagte ihr, Sie gingen nicht fremd.	Je lui ai dit que tu cavalais pas.	8	1
Dad, look who's here.	Hey, Dad. Schau mal, wer da ist.	Coucou, c'est nous.	2	1
Your mom's not a giver-upper.	Deine Mutter gibt nicht so schnell auf.	Ta mère ne lâche pas prise.	8	1
I sure wouldn't do math unless I had to.	Ich mache Mathe nur, wenn ich muss.	Moi, les maths, faudrait me forcer.	1	0
You hadn't had much contact with her, then?	Sie hatten nicht mehr viel Kontakt?	Vous n'aviez plus guère de contacts avec elle?	6,7	0
When she left me, I lost all pride.	Als sie mich verließ, verlor ich allen Stolz.	Quand elle m'a quitté, j'ai perdu tout amour-propre.	6	0
On the Polhemus thing, what the fuck is happening to the fingerprints report?	Wo bleibt der verdammte Bericht über die Fingerabdrücke?	Sur l'affaire Polhemus où est le rapport des empreintes?	1	0
Do them all.	Liefern Sie alle.	Tu fais tout.	4,8	0
What the fuck takes a week?	Was soll der Scheiß? Eine Woche?	Pourquoi une semaine?	1,2	0
- I need them yesterday.	-Ich brauchte sie gestern.	Il me faut ça pour... hier.	1	0
I'll push, but I don't think you'll see them any sooner.	Ich tue, was ich kann, es nützt nichts.	Je vais les pousser, mais plus tôt, j'en doute.	2	1
No diaphragm in that lady.	Die Dame hatte kein Diaphragma.	Pas de diaphragme dans la dame.	2,4,7	1
I think it's a setup.	Ich glaube, das ist eine Falle.	Pour moi... mise en scêne.	2,8	1
But he's an angry guy.	Er wird wütend, bringt sie um.	Mais lui, il se fâche.	6	0
Tries to make it look like rape.	Macht, daß es nach Vergewaltigung aussieht.	Il essaie de faire croire à un viol.	3	0
God better help them and help you, too.	Beten Sie um Hilfe.	Qu'ils se ressaisissent et vous aussi.	2,4,8	1
Voters smell an exhausted man who's lost sight of all the important issues.	Die Wähler riechen, dass Horgan müde ist und die wichtigen Themen vergisst. Themen?	Les électeurs flairent un Horgan exténué... qui a perdu de vue les questions importantes.	1,6	0
Issues?	Quatsch!	Questions?	1	0
But you can't.	Aber das geht nicht.	Mais tu peux pas.	6	0
Then, you still believed you could make a difference.	Du dachtest, du könntest was ändern.	A l'époque, tu croyais pouvoir changer les choses.	6	0
God bless you.	Gott behüte dich.	Dieu te bénisse.	5,8	1
I don't know.	Ich habe keine Ahnung.	Je sais pas.	6	0
I should still have enough clout to pull that off.	So viel Einfluss sollte ich noch haben.	Il devrait me rester assez de piston pour ça.	2,5	1
Would that have satisfied her?	Ob sie das befriedigt hätte?	Aurait-elle été satisfaite?	2	1
Come say hello to Carolyn Polhemus.	Sag Carolyn Polhemus Guten Tag. Kennt ihr euch?	Viens dire bonjour à Carolyn Polhemus.	2	1
Why don't we see if we can find a nice place for her.	Suchen wir ihr einen schönen Platz.	Trouvons-lui un bon petit nid.	2,4,6	0
Rape, sex crimes, child molestation.	Vergewaltigung, Sexualverbrechen.	Viols, crimes sexuels, sévices sur enfants.	3	0
We can do better than that.	Da haben wir doch noch Besseres.	On peut trouver mieux que ça.	1	0
Listen to this.	RAYMOND: Schau an.	Ecoute-moi ça.	3	0
Why don't you fire her?	Werfen Sie sie raus.	Pourquoi vous ne la virez pas?	7	None
And, besides, I'd like to try this case myself.	Außerdem möchte ich mich selbst an diesen Fall wagen.	Et puis, j'aimerais requérir moi-même.	2	1
With your help.	Mit Ihrer Hilfe.	Avec votre aide.	2,8	1
Every one of them terrible.	Jeder Fall ist schrecklich.	Chacune d'elles est affreuse.	1,3	0
Clearly, you're not like everyone else.	Sie sind wirklich ein Ausnahmefall.	Vous n'êtes pas le modèle courant.	5,7,8	1
You think I got this job because I fucked some fat-cat friend of Raymond's.	Glauben Sie, ich hätte einen reichen Freund von Raymond gefickt?	Pour vous, j'ai eu le job en baisant... avec un gros ponte de chez Raymond?	1	0
I want you to meet somebody.	CAROLYN: Ich stelle Ihnen jemanden vor.	Je vous emmène voir quelqu'un.	5	1
Remember what I told you about court?	Weißt du noch, was ich übers Gericht sagte?	Je t'ai parlé du tribunal?	3	0
They're called a jury.	Die Geschworenen.	Le jury.	2	1
And you're gonna ask me questions.	Und Sie werden mir Fragen stellen.	Tu me poseras des questions.	2,4	1
About what happened.	WENDELL: Über das, was geschehen ist.	Sur ce qui s'est passé.	2,7	1
I think you can.	Ich glaube, du kannst das.	Je crois que oui.	8	1
Your mommy took you to the hospital because you were hurt.	Mama brachte dich ins Krankenhaus, weil du verletzt warst.	Ta mère t'a conduit à l'hôpital: tu étais blessé.	7	None
On your head?	CAROLYN: Um deinen Kopf?	Ta tête?	7	None
You're still in love with her.	BARBARA: Du liebst sie immer noch.	Tu l'aimes toujours.	8	1
It's like they're after me, right?	Als wären sie hinter mir her.	Ils sont sur mon dos, non?	4	0
Five years ago.	RUSTY: Vor 5 Jahren.  Alles klar.	Il y a 5 ans.	7	None
Bullshit.	Blödsinn.	Tu parles.	1	0
They found my fingerprints on a glass of beer in her apartment.	Sie fanden meine Fingerabdrücke auf ihrem Glas.	Mes empreintes étaient sur le verre... de bière, chez elle.	4	0
It's not going to go that far.	So weit kommt es nicht.	Ca n'ira pas si loin.	3	0
It could break us financially.	Das kann unser finanzieller Ruin sein.	Ca peut nous mettre sur la paille.	4,6	0
Who would he choose?	Wen würde er wählen?	Qui choisira-t-il?	7	None
I don't want us to end up enemies.	Ich will nicht, dass wir Feinde werden.	Je ne veux pas qu'on finisse ennemis.	4	0
I tried to make it easier for you.	Ich wollte es dir leichter machen.	Je te facilitais les choses.	6	0
You make me feel uncomfortable.	Ich fühle mich so nicht wohl.	Tu me mets mal à l'aise.	4	0
I'm involved with someone else.	Ich bin mit einem anderen zusammen.	J'ai quelqu'un d'autre.	6	0
Rusty, I don't like to be here.	Ich komme nicht gerne hierher.	Ca ne me réjouit pas d'être là.	3	0
Come on in.	Komm rein.	C'est bon. Entrez.	5	1
They're not looking for a murder weapon?	Sie suchen keine Mordwaffe?	Ils ne cherchent pas l'arme?	4	0
Weren't you, in fact, intimate with the lady?	Waren Sie nicht intim mit der Dame?	Etiez-vous, en vérité, intimes?	1,6	0
Yes, I think I do.	Ich glaube schon.	Oui, je crois.	5	1
Carolyn finally agrees.	Carolyn willigt endlich ein.	Carolyn finit par accepter.	5	1
He doesn't think the forensic chemist will be able to ID the spermicide.	Er glaubt nicht, dass man das Spermizid identifiziert.	Il ne pense pas qu'à la chimie légale, on identifiera le spermicide.	4	0
That's where we must attack.	Hier müssen wir ansetzen.	C'est là que nous attaquerons.	1	0
In her medicine cabinet?	Im Arzneikasten?	Dans son armoire à pharmacie?	7	None
It's a hell of a way to impress my new partners.	RAYMOND: Macht Eindruck bei meinen Partnern.	Je vais impressionner mon monde, moi!	1,2,4	0
I was wondering what we might expect, in terms of your testimony.	SANDY: Was dürfen wir von Ihrer Aussage erwarten?	Je voulais connaître la teneur de votre témoignage.	2	1
I'm going to testify about Rusty's conduct of the Polhemus investigation.	Ich bezeuge Rustys Benehmen bei der Polhemus-Ermittlung.	J'expliquerai le comportement de Rusty au moment de l'enquête.	2	1
Why didn't you tell me about you and Carolyn?	- Warum hast du nichts von Carolyn gesagt? - Raymond...	Pourquoi tu ne m'as rien dit sur toi et Carolyn?	1,2	0
Under the circumstances, I have to advise Rusty not to respond.	Unter diesen Umständen ist es besser, wenn Rusty nicht antwortet.	Les circonstances me dictent de conseiller à Rusty de ne pas répondre.	1	0
Why were his fingerprints all over that goddamn glass?	Warum sind seine Abdrücke auf dem verdammten Glas?	Que foutaient ses empreintes sur ce putain de verre?	1,3	0
That I had to chew his ass to get him to move on it.	Dass ich ihn drängen musste, endlich vorwärts zu machen.	J'ai dû lui botter le cul sans arrêt pour qu'il se mette dessus.	3	0
How can you think that I could do a thing like that?	Wie kannst du denken, dass ich so was tun würde?	Comment... peux-tu me penser capable d'une chose pareille?	3,6,7	0
When did this relationship take place between Raymond and Carolyn?	Wann hatten Raymond und Carolyn eine Affäre?	Quand a commencé la liaison Raymond-Carolyn?	2,3,7	1
Just after she stopped seeing me.	Nachdem sie mit mir Schluss machte.	Quand elle m'a largué.	6	0
It can't be a coincidence it lays out this way, Sandy.	Das kann kein Zufall sein. Ich meine...	Ce n'est pas une coïncidence, Sandy. Enfin...	4	0
Your Honor, isn't that a question for the jury?	Das ist eine Frage für die Geschworenen.	N'est-ce pas au jury d'en décider?	1,4,7	0
And I'll see you in court in three weeks.	Ich sehe Sie in 3 Wochen vor Gericht.	Et je vous verrai dans trois semaines.	1	0
What the fuck are you doing with those?	Was soll denn der Scheiß?	Qu'est-ce que tu fous avec ça?	1	0
We're not going to plant anything, if that's what you're worried about.	Keine Angst, wir planen nichts.	On ne va pas coller un truc en douce, va!	1,7	0
Fucking cops always forget something.	Die verdammten Bullen vergessen immer was.	Les flics oublient toujours un truc.	1,3	0
Carolyn never seemed worried about anything like that.	Für Carolyn war das nie ein Thema.	Pour moi, elle se foutait de tout ça.	7	None
Sorry, we're not about to try this case on the courthouse steps.	Die Verhandlung findet drinnen statt. REPORTERIN 5:	On ne juge pas sur les marches du Palais.	1	0
How are we to answer this, Rusty Sabich and I?	Was sollen wir darauf antworten?	Comment devons-nous répondre à cela, Rusty Sabich et moi?	7	None
This witness will testify about a bar glass.	Der Zeuge wird über ein Glas aussagen.	Ce témoin va nous parler d'un verre.	6,7	0
He is an integral part of the defense.	Er gehört zur Verteidigung. Gut.	Il fait partie intégrante de la défense.	8	1
- They making it tough on you?	- Machen sie es dir schwer?	Ils t'en font baver? Ces pédales?	1,2,4	0
You're a pal.	RUSTY: Das ist nett.	T'es un pote.	5	1
I think it's going well.	Ich finde, es läuft gut.	Ca va bien, pour toi. Oui.	2	1
Then come the physical proofs:	Dann kommen die Beweise:	Puis, il y a les preuves matérielles.	2	1
They all point to me.	Sie alle sprechen gegen mich.	Toutes me chargent.	4	0
He promised to pursue it vigorously.	Er versprach, energisch vorzugehen.	Il m'avait promis d'être très pugnace.	4	0
Not to my way of thinking, no.	Meiner Ansicht nach nicht.	Pas à mon goût, non.	8	1
He brought in his own detective to replace Harold Greer.	Er brachte seinen eigenen Detective, um Harold Greer zu ersetzen.	Il a fait appel à son propre inspecteur, pour remplacer Greer.	1,4	0
He tried to limit the scope of the fingerprint search to exclude his own.	Er versuchte, die Bandbreite der Fingerabdrücke einzuschränken.	Il a limité les recherches d'empreintes... pour exclure les siennes.	7	None
What did you tell him about you and Ms. Polhemus?	NICO: Was sagten Sie über Carolyn und sich?	Que lui avez-vous dit de vos relations?	4	0
That's true.	- Stimmt das? - Stimmt.	Exact.	2,7,8	1
Judge, it's our theory that Mr. Sabich is being framed in this case.	Wir glauben, dass Mr. Sabich absichtlich falsch belastet wird.	M. le Président, la défense a pour thèse... que M. Sabich est victime d'un coup monté.	7	None
Mr. Stern, you're playing with fire.	Mr. Stern, Sie spielen mit dem Feuer.	M. Stern... vous jouez avec le feu.	4	0
All my friends will be there.	Alle meine Freunde sind da.	Tous mes copains y seront.	2	1
I'll be okay.	RUSTY: Ich werde es schaffen.	Ca ira, pour moi.	2,5	1
Look, I'm accused of doing something I didn't do.	Man beschuldigt mich zu Unrecht.	J'ai été accusé de quelque chose que je n'ai pas fait.	1,3	0
- They make me.	Ich muss.	Le chef m'y forcera.	4	0
- You did or did not get those records?	- Sie bekamen die Liste nicht? - Ich bekam sie nicht.	Avez-vous pris ces fiches?	6,7	0
He said he forgot.	Er habe es vergessen.	Qu'il avait oublié.	6,7	0
He forgot?	Vergessen?	Oublié? !	1	0
It's not negotiable, Sandy.	Kommt nicht in Frage.	Je te dis non et non.	1	0
The State calls Detective Morris Dickerman.	Der Zeuge Detektive Morris Dickerman. SANDY:	Nous appelons l'Inspecteur Dickerman.	2	1
You hit the books tonight and I'll listen to you tomorrow.	Studieren Sie die Bücher und ich höre morgen zu.	Bûchez votre code cette nuit... et je vous entendrai demain.	8	1
- Don't even breathe!	- Keine Bewegung! - LEON:	Je suis un flic, connard!	1	0
- What the fuck you doing?	Was soll die Kacke?	Ca va pas?	1,4	0
Judge Motherfucker.	Richter Arschloch.	Le juge Enculé.	1	0
Okay, it was just a thought.	War nur so eine Idee.	O.K. C'était une idée, comme ça.	6	0
So you don't know what happened.	Sie wissen also nicht, was passierte.	Donc, vous ignorez ce qui s'est passé.	6,7	0
Do I take it, Mr. Delay Guardia, that the State rests?	Mr. Della Guardia, ich nehme an, die Anklage ist fertig?	Dois-je croire, M. Della Guardia, que la partie civile en a terminé?	2	1
Judge, may we approach?	Dürfen wir vortreten?	Pouvons-nous vous parler?	3	0
Why is he so against your testifying?	Warum will er nicht, dass du aussagst?	Pourquoi est-il tellement contre?	2,4	1
I'd say you were the only man I ever loved.	Dass du der Einzige bist, den ich je geliebt habe.	Que tu es le seul homme que j'aie aimé.	6	0
I wish you Godspeed.	Ich wünsche Ihnen viel Glück.	Que Dieu vous garde.	4,8	0
You question the judge's integrity?	Sie zweifeln an seiner Integrität?	Tu t'inquiêtes de l'intégrité du juge?	1,7	0
You knew that file didn't have a damn thing to do with my case.	Sie wussten, dass die Akte nichts mit mir zu tun hatte.	Tu savais que ce dossier ne concernait en rien mon affaire.	1	0
Yet you let Larren know you'd drag it in at any opportunity.	Und ließen Larren wissen, dass Sie darauf zurückgreifen.	Et Larren a compris que tu remettrais ça sur le tapis.	1,3	0
Larren's divorce left him in a state of disorder.	Larrens Scheidung setzte ihm zu.	Le divorce de Larren l'avait perturbé.	6	0
Raymond Horgan talked him out of it.	Raymond Horgan redete es ihm aus.	Raymond Horgan l'a sorti de là.	5	1
Raymond knew he was taking bribes?	Raymond wusste vom Schmiergeld?	Il savait, pour les pots-de-vin?	1,3,7	0
How are you doing?	LIPRANZER: Wie geht's?	Ca va?	2	1
You're hanging your ass out a good long way on this one.	Damit riskierst du deinen Hals, Lip.	Tu t'es mouillé jusqu'aux oreilles.	1,3	0
It was them that fucked up.	Sie haben selber Mist gebaut.	C'est eux qui ont merdé.	1	0
You think I killed her.	Du glaubst, ich habe sie umgebracht.	Tu crois que je l'ai tuée...	6	0
That dumb old college would be lucky to have you teaching there.	Die Uni hat Glück, dich als Lehrerin zu erhalten.	Cette fac nulle sera trop heureuse de t'avoir pour prof.	8	1
Good luck, Mom.	Viel Glück, Mama.	Bonne chance, maman!	2,8	1
Go get them, kid.	Zeig's ihnen, meine Kleine.	Défonce-toi.	2,5,8	1
In the dream, the destroyer's destroyed.	Im Traum wird die Zerstörerin zerstört.	Dans le rêve, la destructrice est détruite.	4	0
That's a dream worth living for.	Für diesen Traum lohnt es sich zu leben.	Ce rêve, c'est une raison de vivre.	2,5	1
And life begins again.	Und das Leben beginnt wieder.	Et la vie reprend son cours.	2,5,8	1
Fuck the office!	Scheiß aufs Büro!	Merde au bureau!	1,3	0
Don't you see what's happening?	Siehst du nicht, was los ist?	Tu vois pas ce qui se passe?	1	0
We don't know where the hell we are.	Wir haben keine Ahnung, wo wir stehen.	On ne sait pas où on en est.	4,6	0
I thought we'd celebrate.	Gehen wir essen, zur Feier des Tages?	Ca se fête.	2	1
You know I don't understand that shit.	Ich verstehe diese Scheiße nicht.	J'y comprends rien.	1	0
By Molto.	Von Molto.	Par Molto.	1,2	0
I didn't mean to scare you.	Ich wollte dich nicht erschrecken.	Je voulais pas... te faire peur.	7	None
There's some problems.	Es gibt Probleme.	Ca fait problême.	4	0
I wouldn't be stupid enough to bring it home.	Ich wäre nicht so dumm, sie zu Hause zu lassen.	Je ne l'aurais pas rapportée.	1	0
We object to that.	Wir erheben Einspruch.	Nous nous y opposons.	1	0
He asked you not to get those records?	Sie sollten diese Listen nicht holen?	Il vous a demandé de ne pas prendre ces fiches?	1	0
Did you oblige him?	Sie taten ihm den Gefallen?	Vous avez accepté?	8	1
Leon!	LIPRANZER:	Leon!	4,6	0
My wife went to a lot of trouble.	Meine Frau den Partyservice bestellt.	Ma femme s'est donné du mal :	1,4,6,8	0
- I heard you got married.	Und du hast geheiratet?	Tu t'es mariée !	5	1
- I love this car.	Ich liebe dieses Auto.	- J'adore cette voiture !	5,7	1
Welcome to Hollywood!	Willkommen in Hollywood!	Bienvenue à Hollywood !	2,5	1
She was a crackhead.	Sie nahm Crack.	Elle tournait au crack.	3	0
Dominic tried to straighten her out.	Dominic versuchte, sie davon wegzukriegen.	Dominic a essayé de l'aider.	6	0
- Well, just 'cause I'm hungry.	Das ist bloß, weil ich Hunger hab.	C'est parce que j'ai faim.	5	1
Carlos really digs you.	Carlos mag dich...	Carlos t'aime bien...	7	None
And then he'll run our lives and take our money.	Dann kontrolliert er uns und kriegt unser Geld.	Il dirigera nos vies et prendra notre fric.	1,4	0
Hey, sugar, you looking for a date?	- Schatz, willst du ein Date?	Envie de compagnie ?	2	1
